treasure itemtypes "Common","Uncommon","Rare","Epic","Legendary","Divine","Unique"
new treasuretable "TUT_Chest_Potions"
CanMerge 1
new subtable "1,1"
object category "I_XEL_OBJ_SpellPouch",1,0,0,0,0,0,0,0
new treasuretable "XEL_PotionContainer"
MinLevel "-20"
MaxLevel "20"
IgnoreLevelDiff 1
new subtable "1,1"
StartLevel "1"
object category "I_XEL_OBJ_HagBrewBag",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_Potion_Healing",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_Potion_Healing_Greater",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_Potion_Healing_Superior",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_Potion_Healing_Supreme",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_Antitoxin",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_Oil_Of_The_Basilisk",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_ALCH_Solution_Potion_Rest_Lesser",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_ALCH_Solution_Potion_Rest_Greater",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_Potion_Of_Animal_Speaking",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_ALCH_Solution_Potion_FeatherFall",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_ALCH_Solution_Potion_Flying",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_ALCH_Solution_Potion_Jump",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_Potion_Of_Invisibility",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_ALCH_Solution_Potion_DetectThoughts",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_OBJ_Potion_Of_Speed",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_ALCH_Solution_Potion_Remedy",1,0,0,0,0,0,0,0
new subtable "20,1"
object category "I_ALCH_Solution_Elixir_Meditation",1,0,0,0,0,0,0,0
new subtable "20,1"
